title,author,isbn13,nyt_rank,nyt_rank_last_week,weeks_on_list,category,extraction_date,goodreads_rating,goodreads_rating_count
IMPOSSIBLE CREATURES,Katherine Rundell.,9780593809860,1,1,9,Childrens-Middle-Grade-Hardcover,2024-11-19,4.17,8727.0
THE MILLICENT QUIBB SCHOOL OF ETIQUETTE FOR YOUNG LADIES OF MAD SCIENCE,Kate McKinnon,9780316554732,2,3,6,Childrens-Middle-Grade-Hardcover,2024-11-19,4.1,632.0
THE LAST DRAGON ON MARS,Scott Reintgen,9781665946513,3,6,6,Childrens-Middle-Grade-Hardcover,2024-11-19,4.28,261.0
THE BLETCHLEY RIDDLE,Ruta Sepetys and Steve Sheinkin,9780593527542,4,4,5,Childrens-Middle-Grade-Hardcover,2024-11-19,4.21,1868.0
THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,9781492670025,5,5,223,Childrens-Middle-Grade-Hardcover,2024-11-19,4.4,815.0
THE COMPLETE BAKING BOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,9781492677697,6,0,66,Childrens-Middle-Grade-Hardcover,2024-11-19,4.47,385.0
WONDER,R.J. Palacio,9780375869020,7,7,466,Childrens-Middle-Grade-Hardcover,2024-11-19,4.37,1124549.0
HEROES,Alan Gratz,9781338736076,8,9,35,Childrens-Middle-Grade-Hardcover,2024-11-19,4.24,2708.0
PRICELESS FACTS ABOUT MONEY,Mellody Hobson.,9781536224719,9,0,5,Childrens-Middle-Grade-Hardcover,2024-11-19,4.06,18.0
MOUSE AND HIS DOG,Katherine Applegate and Gennifer Choldenko.,9781250345004,10,0,3,Childrens-Middle-Grade-Hardcover,2024-11-19,4.29,134.0
CHRISTMAS AT HOGWARTS,J.K. Rowling.,9781546129950,1,1,4,Picture-Books,2024-11-19,4.41,591.0
HOW TO CATCH A TURKEY,Adam Wallace.,9781492664352,2,4,20,Picture-Books,2024-11-19,3.8,1127.0
TAYLOR SWIFT,Wendy Loggia.,9780593566718,3,2,3,Picture-Books,2024-11-19,4.68,3555.0
MS. RACHEL AND THE SPECIAL SURPRISE,Ms. Rachel.,9780593811252,4,3,7,Picture-Books,2024-11-19,4.26,93.0
CHICKA CHICKA HO HO HO,William Boniface.,9781665954761,5,0,1,Picture-Books,2024-11-19,3.74,101.0
DON'T LET THE PIGEON DRIVE THE SLEIGH!,Mo Willems,9781454952770,6,7,19,Picture-Books,2024-11-19,4.25,1108.0
BLUEY: BARTLEBEE'S FIRST CHRISTMAS,Joe Brumm and Emily Baulch,9780593755068,7,0,1,Picture-Books,2024-11-19,4.0,2.0
"GRUMPY MONKEY OH, NO! CHRISTMAS",Suzanne Lang.,9780593306093,8,0,7,Picture-Books,2024-11-19,3.92,475.0
HOW TO CATCH SANTA CLAUS,Alice Walstead.,9781728274270,9,0,8,Picture-Books,2024-11-19,3.93,197.0
THE SNOW THIEF,Alice Hemming.,9781464226786,10,0,1,Picture-Books,2024-11-19,4.16,195.0
DIARY OF A WIMPY KID,and   Jeff Kinney,9781419766954,1,1,817,Series-Books,2024-11-19,4.46,1839.0
THE WILD ROBOT,Peter Brown,9780316382007,2,2,42,Series-Books,2024-11-19,4.17,78758.0
PERCY JACKSON & THE OLYMPIANS,Rick Riordan,9781368107631,3,3,750,Series-Books,2024-11-19,4.25,18062.0
HARRY POTTER,J.K. Rowling,9781338878929,4,4,816,Series-Books,2024-11-19,4.47,10495185.0
SHATTER ME,Tahereh Mafi,9780063419407,5,0,8,Series-Books,2024-11-19,3.85,1002979.0
THE POWERLESS TRILOGY,Lauren Roberts,9781665954884,6,6,19,Series-Books,2024-11-19,4.2,462668.0
CARAVAL,Stephanie Garber,9781250095268,7,5,11,Series-Books,2024-11-19,3.98,638801.0
WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,9780593754221,8,0,172,Series-Books,2024-11-19,4.39,850.0
THE HUNGER GAMES,Suzanne Collins,9780439023528,9,9,348,Series-Books,2024-11-19,4.34,9033090.0
A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,9781984896391,10,7,163,Series-Books,2024-11-19,4.31,1363475.0
A STUDY IN DROWNING,Ava Reid,9780063419414,1,0,10,Young-Adult-Hardcover,2024-11-19,3.77,63433.0
WHERE THE LIBRARY HIDES,Isabel Ibañez,9781250377166,2,0,1,Young-Adult-Hardcover,2024-11-19,4.15,3405.0
IF HE HAD BEEN WITH ME,Laura Nowlin,9781464231025,3,0,1,Young-Adult-Hardcover,2024-11-19,3.8,436973.0
NOTHING LIKE THE MOVIES,Lynn Painter,9781665947138,4,1,6,Young-Adult-Hardcover,2024-11-19,4.03,43024.0
LIGHTLARK,Alex Aster,9781419760860,5,2,56,Young-Adult-Hardcover,2024-11-19,3.85,183885.0
MURTAGH,Christopher Paolini,9780593898000,6,4,49,Young-Adult-Hardcover,2024-11-19,4.16,32080.0
THE GLASS GIRL,Kathleen Glasgow,9780525708087,7,5,6,Young-Adult-Hardcover,2024-11-19,4.41,2316.0
IMMORTAL DARK,Tigest Girma,9780316570381,10,6,10,Young-Adult-Hardcover,2024-11-19,3.75,7765.0
